x_observed_cm-1,structural_frequency_cm-1,real_measured,imag_measured,real_fit,imag_fit,real_residual,imag_residual
2785.38,3419.3076923076924,0.323928,-1.66816,0.7336123879973467,0.7775378841310966,-0.40968438799734674,-2.445697884131097
2786.18,3420.626373626373,0.604947,-2.53405,0.6987045102654449,0.8521436928923366,-0.09375751026544488,-3.386193692892337
2786.98,3421.945054945055,1.42088,-4.23649,0.6526195625918533,0.9264048349028959,0.7682604374081466,-5.162894834902896
2787.79,3423.28021978022,5.33387,-9.01089,0.5935881573219527,0.9989068820926517,4.740281842678048,-10.009796882092651
2788.6,3424.6153846153843,20.1074,31.223,0.5217213038493289,1.065800849645878,19.58567869615067,30.15719915035412
2789.4,3425.934065934066,-2.97316,8.52619,0.4386207072265581,1.1231604068159486,-3.411780707226558,7.403029593184051
2790.21,3427.2692307692305,-2.82282,4.25162,0.3437682764693056,1.1691443038784588,-3.1665882764693056,3.0824756961215414
2791.01,3428.587912087912,-2.55955,2.45864,0.24214486976049526,1.199797710366029,-2.8016948697604955,1.258842289633971
2791.82,3429.923076923077,-2.2906,1.38541,0.13484941169196812,1.213895142247653,-2.425449411691968,0.1715148577523471
2792.63,3431.2582417582416,-2.00763,0.651531,0.02735891839410423,1.2101959076308053,-2.034988918394104,-0.5586649076308053
2793.43,3432.576923076923,-1.72056,0.11181,-0.07480984119598955,1.1897077700106047,-1.6457501588040104,-1.0778977700106047
2794.24,3433.9120879120874,-1.42359,-0.325756,-0.17048864552392798,1.1538349616410362,-1.2531013544760718,-1.479590961641036
2795.05,3435.247252747253,-1.0536,-0.724488,-0.25554282340210294,1.105600747190654,-0.7980571765978972,-1.830088747190654
2795.85,3436.565934065934,-0.446407,-1.01222,-0.32746833715029766,1.0490944359702703,-0.11893866284970234,-2.06131443597027
2796.66,3437.9010989010985,0.296551,-0.736839,-0.3874893460005583,0.9862252151617439,0.6840403460005583,-1.723064215161744
2797.47,3439.2362637362635,0.399776,-0.114367,-0.4349615924591025,0.9206762116462168,0.8347375924591025,-1.035043211646217
2798.27,3440.5549450549447,0.167098,0.143832,-0.47048946490389043,0.8557429242563401,0.6375874649038904,-0.7119109242563402
2799.08,3441.8901098901097,-0.00863132,0.187409,-0.49630644267289004,0.791674704647189,0.48767512267289004,-0.6042657046471891
2799.89,3443.225274725274,-0.112219,0.17503,-0.5134121689167215,0.7306080188262607,0.40119316891672147,-0.5555780188262607
2800.69,3444.543956043956,-0.176118,0.156118,-0.5232283164569459,0.6740541681057259,0.3471103164569459,-0.517936168105726
2801.5,3445.879120879121,-0.220881,0.145153,-0.5273847450237747,0.6210385656996427,0.30650374502377475,-0.4758855656996427
2802.31,3447.2142857142853,-0.257299,0.148592,-0.5269573895213993,0.5724503282100861,0.26965838952139926,-0.4238583282100861
2803.12,3448.5494505494503,-0.289999,0.173702,-0.5230089980918872,0.528245126385195,0.23300999809188716,-0.35454312638519503
2803.92,3449.868131868132,-0.3164,0.234212,-0.5165226185323339,0.4887154047524708,0.20012261853233393,-0.2545034047524708
2804.73,3451.2032967032965,-0.312567,0.356549,-0.5080596521641139,0.4526186075536614,0.19549265216411388,-0.0960696075536614
2805.54,3452.5384615384614,-0.174606,0.55725,-0.4982797957890699,0.42017373984801243,0.32367379578906985,0.1370762601519876
2806.35,3453.873626373626,0.26813,0.579267,-0.4876585793596306,0.3910612089995189,0.7557885793596306,0.18820579100048107
2807.16,3455.208791208791,0.481526,0.121314,-0.4765734425021751,0.3649587154410814,0.9580994425021752,-0.24364471544108138
2807.96,3456.5274725274726,0.306421,-0.17632,-0.46545977981827985,0.34182498187677135,0.7718807798182798,-0.5181449818767714
2808.77,3457.862637362637,0.118941,-0.280383,-0.4542673902546702,0.3207825207154317,0.5732083902546702,-0.6011655207154316
2809.58,3459.197802197802,-0.0352209,-0.318185,-0.44330953518333016,0.301850059442506,0.40808863518333016,-0.6200350594425059
2810.39,3460.5329670329666,-0.183185,-0.329415,-0.4327144528551223,0.2847584911812089,0.2495294528551223,-0.6141734911812089
2811.2,3461.8681318681315,-0.357061,-0.312093,-0.4225706633948476,0.26925683957566665,0.0655096633948476,-0.5813498395756667
2812.0,3463.186813186813,-0.593229,-0.217295,-0.4130481339773276,0.2552801157564199,-0.18018086602267241,-0.47257511575641986
2812.81,3464.5219780219777,-0.862896,0.130013,-0.4039329677275445,0.2422683343999046,-0.4589630322724555,-0.11225533439990462
2813.62,3465.8571428571427,-0.644553,0.816155,-0.3953459304156757,0.23021192132910298,-0.24920706958432437,0.585943078670897
