wavenumber_cm-1,raw_trace,finite,interp_trace,smooth_17,smooth_1,smooth_7,smooth_11,smooth_25,smooth_33
2731.6,,False,-0.34999999999999526,-0.8161499999999983,-0.34999999999999526,-2.0222571428571428,-1.0249590909090887,-1.0222713999999673,-1.2829207575757327
2732.4,-0.375,True,-0.375,-0.422032352941175,-0.375,-2.081185714285714,-1.164353030303036,-0.7702513999999675,-1.2533753030302686
2733.2,-8.9997,True,-8.9997,-0.4087976470588221,-8.9997,-2.0249357142857103,-0.9885954545454523,-0.9682513999999676,-0.9578904545454202
2734.0,inf,False,-4.4061,-0.6398917647058809,-4.4061,-1.9785071428571386,-0.9067772727272704,-0.9371263999999991,-1.0812631818181473
2734.8,0.1875,True,0.1875,-0.759499607843141,0.1875,-1.4999357142857106,-1.043140909090907,-0.8651263999999991,-1.0403537878787534
2735.6,-inf,False,0.09375000000002665,-0.892832941176469,0.09375000000002665,-1.2320785714285678,-1.0476872727272701,-0.5701263999999862,-0.9342780303029958
2736.4,0.0,True,0.0,-1.0869505882352926,0.0,-0.20354999999999623,-1.1911963636363614,-0.6361263999999861,-0.9797328787878442
2737.2,3.0,True,3.0,-1.0251858823529396,3.0,0.3723200000000038,-1.2025599999999979,-0.836122399999986,-0.9637290909090805
2738.0,1.5,True,1.5,-1.0060682352941157,1.5,0.0700200000000038,-0.4934963636363613,-0.8674553333333231,-0.9091836363636259
2738.8,-1.8,True,-1.8,-1.051656470588215,-1.8,-0.014801428571428604,-0.3383963636363613,-1.0701219999999863,-0.6126472727272623
2739.6,-0.37501,True,-0.37501,-1.1619505882352739,-0.37501,-0.18623,-0.28725999999999763,-1.0641223999999863,-0.6853715151515049
2740.4,-1.9286,True,-1.9286,-0.8090211764705679,-1.9286,-1.0005157142857142,-0.29578272727272736,-1.0321223999999862,-0.6929472727272624
2741.2,-0.5,True,-0.5,-0.5057205882352738,-0.5,-1.1076585714285714,-0.39805545454542557,-1.0191223999999859,-0.7697149494949418
2742.0,-1.2,True,-1.2,-0.7520441176470385,-1.2,-0.8505157142857143,-0.8753281818181528,-0.9536943999999861,-0.8020381818181714
2742.8,-2.7,True,-2.7,-0.7134417647058634,-2.7,-0.9576571428570971,-1.284409999999971,-1.0586903999999862,-0.8252706060605957
2743.6,0.75,True,0.75,-0.684029999999981,0.75,-1.003571428571383,-1.0525909090908798,-0.6287023999999861,-0.827543333333323
2744.4,0.0,True,0.0,-0.8605005882352752,0.0,-1.3606999999999543,-1.3821354545454252,-0.4924583999999861,-1.0904130303030197
2745.2,,False,-1.1249999999996803,-0.8731064705882166,-1.1249999999996803,-1.082127142857097,-1.1386272727272437,-0.49995839999998604,-1.1252615151515046
2746.0,-2.25,True,-2.25,-0.943688823529393,-2.25,-1.2678414285713828,-1.047718181818153,-0.5103751999999872,-1.1442009090908987
2746.8,-2.9999,True,-2.9999,-0.8186882352940988,-2.9999,-1.2678428571428115,-0.9386272727272438,-0.5253751999999872,-1.1896948484848382
2747.6,0.75001,True,0.75001,-0.7640647058823341,0.75001,-1.1964142857142401,-0.57629090909088,-1.0053631999999872,-1.2380069696969593
2748.4,-4.0,True,-4.0,-0.7346529411764519,-4.0,-1.0357,-0.9171909090908801,-1.1253631999999874,-1.2436887878787772
2749.2,0.74999,True,0.74999,-0.673868823529393,0.74999,-0.5306,-0.758099999999971,-1.0933631999999873,-1.274938787878778
2750.0,0.5,True,0.5,-0.5371041176470399,0.5,-0.5306,-0.7467363636363638,-1.4984027999999874,-1.365844848484839
2750.8,0.0,True,0.0,-1.1106158823529222,0.0,-0.38774428571428565,-0.5421909090909091,-1.6612747999999873,-1.5022084848484751
2751.6,1.2857,True,1.2857,-1.1988511764705692,1.2857,0.04082714285714295,-0.28462454545454546,-1.6412747999999873,-1.3658418181818084
2752.4,-2.9999,True,-2.9999,-1.1914982352941175,-2.9999,-0.06631428571428567,-0.38689818181818186,-1.6307747999999875,-1.5840145454545358
2753.2,1.75,True,1.75,-1.676851176470588,1.75,-0.1615528571428571,-0.8414163636363637,-1.6427707999999874,-1.8908627272727179
2754.0,-1.0,True,-1.0,-1.8533511764705881,-1.0,-0.21512428571428568,-1.0459609090909092,-1.7327707999999875,-1.9006021212121118
2754.8,-0.0,True,-0.0,-1.8974694117647057,0.0,-1.6844671428571427,-1.1823245454545455,-1.4927667999999874,-1.6581627272727177
2755.6,-0.16667,True,-0.16667,-1.7173223529411765,-0.16667,-1.4701957142857143,-2.136960909090909,-1.8077548,-1.6308899999999904
2756.4,-0.375,True,-0.375,-1.9379041176470588,-0.375,-1.863052857142857,-2.7993336363636367,-2.1377948000000004,-1.5880324242424146
2757.2,-8.9997,True,-8.9997,-2.0555511764705883,-8.9997,-3.220338571428571,-2.5266154545454547,-2.1077988000000003,-1.636012121212112
