wavenumber_cm-1,real,imag,abs_chi,intensity_abs2,phase_rad,imag_smooth,intensity_smooth
3828.27,0.00447163,-0.0190883,0.019605067501717508,0.0003843586717469,-1.3406855136387885,-0.01670955294117647,0.0003410342670288588
3829.2,0.00353252,-0.0177848,0.0181322312082766,0.00032877780859039986,-1.3747224685280217,-0.01605607823529412,0.0003198113594417765
3830.13,0.00288558,-0.0162142,0.016468966378507182,0.00027122685357639995,-1.3946740313806947,-0.015419954705882356,0.0002991537641806529
3831.06,0.00262263,-0.0145013,0.014736549453888451,0.0002171658898069,-1.3918755191960623,-0.014811607647058824,0.00027908905602181175
3831.99,0.00278164,-0.0128015,0.01310022607971328,0.0001716159233396,-1.35683222408059,-0.014236466470588235,0.00025960324085275296
3832.93,0.00333741,-0.0112762,0.011759719042056234,0.00013829099194809997,-1.2830414323316544,-0.013695478235294118,0.0002407081149232294
3833.86,0.00420425,-0.0100655,0.010908254136776426,0.00011899000831250002,-1.175134306850075,-0.013185884117647059,0.0002224868571176588
3834.79,0.0052499,-0.00926669,0.010650492644291154,0.00011343299356609998,-1.0553473332226206,-0.012702148823529411,0.00020511168726492938
3835.72,0.00631643,-0.00892081,0.010930605609983372,0.00011947813900099997,-0.9546843160831633,-0.012237078235294116,0.0001888307276028588
3836.65,0.00724334,-0.00900953,0.011560173232979686,0.0001336376051765,-0.8936428309797366,-0.011783301764705881,0.00017392925162231174
3837.58,0.00788747,-0.0094609,0.012317500225731682,0.00015172081181090004,-0.8758468300281189,-0.011335048823529412,0.00016066930143726475
3838.52,0.00813839,-0.0101603,0.013017875705432896,0.00016946508788210003,-0.8954465433836689,-0.010889752941176471,0.00014921637775225886
3839.45,0.00792868,-0.0109635,0.013530051692155503,0.00018306229879239998,-0.9446763667246454,-0.010448782352941176,0.00013957045723091767
3840.38,0.00724105,-0.011711,0.013768817164248348,0.00018958032610249994,-1.0170209352473354,-0.01001670882352941,0.00013152401035052358
